sec	milli	uuid	name	pitch	player1_life	player2_life	update_type
0	0				40	40	life
58	293	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
70	843	Mj9fkHtdrzzmDw8RNCKmT	Agile Engagement	3			card
78	727	9Kp6GPmC6WKb7NqNPwNrd	Ironsong Response	1			card
87	356					36	life
125	650	gRpHwzjCr7Q6RQwnGTT7t	Clash of Agility	1			card
142	533				35		life
168	886	J8WjCNLBmFtppjBfWqjtW	Edge Ahead	1			card
186	431	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
204	255	czpGHfkkmgF6kFCQjfcC8	Scowling Flesh Bag				card
219	304	QzMcw6fdMzggnrQ8M9jbC	Stroke of Foresight	1			card
227	813					33	life
262	840		Wild Ride	2			card
302	456				33		life
312	652	ckjckdp6twK8nfwqGch7J	Pack Hunt	1			card
343	392				27		life
359	834	bjpwqRpN6hpdB9gMLWbmW	Unsheathed	1			card
364	110	JtPhDg9PkWmHb6jpCCPjz	Ironsong Versus				card
373	365	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
417	612	kMRjHHLzPtgLw7j7PmQqf	Command and Conquer	1			card
442	957	QTpCnrrjTbQhdRdLBzLzB	Apex Bonebreaker				card
465	319	WDqWgDfRpTjWdMdTMM666	Bare Fangs	1			card
472	693	dHNcBPjwggj8GdFnqbkrD	Beast Within	2			card
477	071					32	life
547	071				24		life
568	886	J8WjCNLBmFtppjBfWqjtW	Edge Ahead	1			card
571	924	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
620	912					26	life
624	200	FhJWwcJKQjbQhHGRcNFTf	Grains of Bloodspill				card
633	543	h9jqjKPhPLfwCdgkQ9NBB	Agile Windup	3			card
646	787	ckjckdp6twK8nfwqGch7J	Pack Hunt	1			card
683	283				23		life
687	101	gRpHwzjCr7Q6RQwnGTT7t	Clash of Agility	1			card
695	756				20		life
718	145	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
752	262					23	life
755	117	FhJWwcJKQjbQhHGRcNFTf	Grains of Bloodspill				card
763	829	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
786	746					20	life
806	909	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw				card
815	813	h9jqjKPhPLfwCdgkQ9NBB	Agile Windup	3			card
826	004	WLNGdRBzRcLqzhdrMbDG8	Run Roughshod	3			card
853	599				18		life
895	676	7BHmLFHMLWwnzR7Fhf667	Glistening Steelblade	2			card
902	922	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
931	124					16	life
937	709	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
941	881					11	life
965	873	fTbpMzhTMBwFNCpGKCft7	Bloodrush Bellow	2			card
991	283	fTbpMzhTMBwFNCpGKCft7	Bloodrush Bellow	2			card
1023	433	WPkcWHhWGzFKcNWQFM7hf	Savage Sash				card
1035	025	WLNGdRBzRcLqzhdrMbDG8	Run Roughshod	3			card
1056	793				17		life
1065	537	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw				card
1074	817	fFHTT7tCd9NDBqn9qCgh6	Balance of Justice				card
1090	233				15		life
1096	962	zznJbCwttpMHdRkQHccHp	Bare Fangs	2			card
1116	921				5		life
1139	452	NDjHqNJrckK6pjK7LwfMW	Dawnblade				card
1180	625	QzMcw6fdMzggnrQ8M9jbC	Stroke of Foresight	1			card
1187	117					2	life
1190	506	FhJWwcJKQjbQhHGRcNFTf	Grains of Bloodspill				card
1208	829	TKR9cWhRJgWjgjjL7kWmf	Wild Ride	1			card
1252	424	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw				card
1265	552				4		life
1268	283	WDqWgDfRpTjWdMdTMM666	Bare Fangs	1			card
1274	211				0		life
