sec	milli	uuid	name	pitch
44	44899	zDLrkgc8QGm77T8qPGwqd	Nock the Deathwhistle	3
67	67442	jNbd7cDQccq8zTwgTT8Rb	Barbed Undertow	1
123	123841	htRtFwB8MhppFMqwLnNzK	Line It Up	2
128	128487	jNbd7cDQccq8zTwgTT8Rb	Barbed Undertow	1
208	208979	9kGkjgLHrhWqGFhfh9h8f	Hamstring Shot	1
213	213629	n877nqgWkLDfjQBwM7DM7	Lace with Inertia	1
215	215990	JzpDJJgqRBD7g7qjfFBkW	Release the Tension	1
241	241715	8dw7PGfBNcKMcRkgMdPJz	Clash of Agility	2
298	298874	fTbpMzhTMBwFNCpGKCft7	Bloodrush Bellow	2
336	336056	WPkcWHhWGzFKcNWQFM7hf	Savage Sash	
350	350805	ckjckdp6twK8nfwqGch7J	Pack Hunt	1
399	399284	zznJbCwttpMHdRkQHccHp	Bare Fangs	2
467	467637	LpcMH9ftTRHRc9gw9j6hw	Poison the Tips	2
472	472519	n877nqgWkLDfjQBwM7DM7	Lace with Inertia	1
478	478085	qrRLQz7cjpKL6dGrjnbDp	Bolt'n' Shot	1
527	527950	8dw7PGfBNcKMcRkgMdPJz	Clash of Agility	2
530	530283	czpGHfkkmgF6kFCQjfcC8	Scowling Flesh Bag	
533	533950	QTpCnrrjTbQhdRdLBzLzB	Apex Bonebreaker	
554	554105	fjQhNWhnfzCbn8L9d8gjT	Drill Shot	1
644	644973	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw	
706	706979	dbWtMTc6H6qKnbwKnLfRc	Sharp Shooters	
712	712707	fjQhNWhnfzCbn8L9d8gjT	Drill Shot	1
714	714350	Lwdrb8J6bDcNKp67DzWWp	Dead Eye	2
719	719473	QRhMFtbfPHP67Rmwbzdcj	Seek and Destroy	1
793	793605	gRpHwzjCr7Q6RQwnGTT7t	Clash of Agility	1
879	879091	jNbd7cDQccq8zTwgTT8Rb	Barbed Undertow	1
892	892862	mRMLQ9PM6rhFMcMKWdcbm	Flight Path	
902	902061	FLHmj9MjCgFPBzgFGKRFW	Red in the Ledger	1
940	940588	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw	
945	945555	9T6MpdKGz7bnbQpJrNQjq	Boulder Trap	2
979	979592	LpcMH9ftTRHRc9gw9j6hw	Poison the Tips	2
981	981428	JzpDJJgqRBD7g7qjfFBkW	Release the Tension	1
984	984675	7pc6MTFPJjzjNTRH6zdNh	Codex of Frailty	2
1002	1002770	FLHmj9MjCgFPBzgFGKRFW	Red in the Ledger	1
1044	1044910	gRpHwzjCr7Q6RQwnGTT7t	Clash of Agility	1
1099	1099089	kMRjHHLzPtgLw7j7PmQqf	Command and Conquer	1
1127	1127419	fMgQnGBfTgfGdLFMDjDWJ	Premeditate	1
1134	1134012	9kGkjgLHrhWqGFhfh9h8f	Hamstring Shot	1
1142	1142010	gRpHwzjCr7Q6RQwnGTT7t	Clash of Agility	1
1172	1172191	hPQ9NCmMKDdgMkzpkpGb6	Runner Runner	1
1201	1201836	NnPBTJzJr8PMqGdN9dDtH	Seek Horizon	1
1222	1222678	JzpDJJgqRBD7g7qjfFBkW	Release the Tension	1
1227	1227901	7pc6MTFPJjzjNTRH6zdNh	Codex of Frailty	2
1240	1240664	D9N8LLTrcrbm9pk7HnPqN	Judge, Jury, Executioner	1
1290	1290179	dHNcBPjwggj8GdFnqbkrD	Beast Within	2
1345	1345471	WDqWgDfRpTjWdMdTMM666	Bare Fangs	1
1379	1379386	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw	
1398	1398539	gdFrmMtzgg8DcqjN6tfBM	Lace with Bloodrot	1
1408	1408917	Lwdrb8J6bDcNKp67DzWWp	Dead Eye	2
1412	1412816	FLHmj9MjCgFPBzgFGKRFW	Red in the Ledger	1
1486	1486680	JkqmHRmjDr8cm6wcdCkPj	Pack Call	2
1489	1489405	gRpHwzjCr7Q6RQwnGTT7t	Clash of Agility	1
1542	1542817	8fFPCT68cgF9gbWKppDgQ	Infecting Shot	1
1608	1608972	K7KgTFCHdGNnqTkJfPtTG	Rain Razors	2
1664	1664577	QRhMFtbfPHP67Rmwbzdcj	Seek and Destroy	1
1666	1666277	JwFbJDJCkQdfFGLCjQz6P	Immobilizing Shot	1
